Shape,A,OD,ID,t(nom),t(des),wt./ft.,D/t,I,S,r,Z,J,C
HSS20X0.500,28.5,20,19.07,0.5,0.465,104,43,1360,136,6.91,177,2720,272
HSS20X0.375,21.5,20,19.302,0.375,0.349,78.67,57.3,1040,104,6.95,135,2080,208
HSS18X0.500,25.6,18,17.07,0.5,0.465,93.54,38.7,985,109,6.2,143,1970,219
HSS18X0.375,19.4,18,17.302,0.375,0.349,70.66,51.6,754,83.8,6.24,109,1510,168
HSS16X0.625,28.1,16,14.838,0.625,0.581,103,27.5,838,105,5.46,138,1680,209
HSS16X0.500,22.7,16,15.07,0.5,0.465,82.85,34.4,685,85.7,5.49,112,1370,171
HSS16X0.438,19.9,16,15.186,0.438,0.407,72.87,39.3,606,75.8,5.51,99,1210,152
HSS16X0.375,17.2,16,15.302,0.375,0.349,62.64,45.8,526,65.7,5.53,85.5,1050,131
HSS16X0.312,14.4,16,15.418,0.312,0.291,52.32,55,443,55.4,5.55,71.8,886,111
HSS16X0.250,11.5,16,15.534,0.25,0.233,42.09,68.7,359,44.8,5.58,57.9,717,89.7
HSS14X0.625,24.5,14,12.838,0.625,0.581,89.36,24.1,552,78.9,4.75,105,1100,158
HSS14X0.500,19.8,14,13.07,0.5,0.465,72.16,30.1,453,64.8,4.79,85.2,907,130
HSS14X0.375,15,14,13.302,0.375,0.349,54.62,40.1,349,49.8,4.83,65.1,698,100
HSS14X0.312,12.5,14,13.418,0.312,0.291,45.65,48.1,295,42.1,4.85,54.7,589,84.2
HSS14X0.250,10.1,14,13.534,0.25,0.233,36.75,60.1,239,34.1,4.87,44.2,478,68.2
HSS12.750X0.500,17.9,12.75,11.82,0.5,0.465,65.48,27.4,339,53.2,4.35,70.2,678,106
HSS12.750X0.375,13.6,12.75,12.052,0.375,0.349,49.61,36.5,262,41,4.39,53.7,523,82.1
HSS12.750X0.250,9.16,12.75,12.284,0.25,0.233,33.41,54.7,180,28.2,4.43,36.5,359,56.3
HSS10.750X0.500,15,10.75,9.82,0.5,0.465,54.79,23.1,199,37,3.64,49.2,398,74.1
HSS10.750X0.375,11.4,10.75,10.052,0.375,0.349,41.59,30.8,154,28.7,3.68,37.8,309,57.4
HSS10.750X0.250,7.7,10.75,10.284,0.25,0.233,28.06,46.1,106,19.8,3.72,25.8,213,39.6
HSS10X0.625,17.2,10,8.838,0.625,0.581,62.64,17.2,191,38.3,3.34,51.6,383,76.6
HSS10X0.500,13.9,10,9.07,0.5,0.465,50.78,21.5,159,31.7,3.38,42.3,317,63.5
HSS10X0.375,10.6,10,9.302,0.375,0.349,38.58,28.7,123,24.7,3.41,32.5,247,49.3
HSS10X0.312,8.88,10,9.418,0.312,0.291,32.31,34.4,105,20.9,3.43,27.4,209,41.9
HSS10X0.250,7.15,10,9.534,0.25,0.233,26.06,42.9,85.3,17.1,3.45,22.2,171,34.1
HSS10X0.188,5.37,10,9.652,0.188,0.174,19.72,57.5,64.8,13,3.47,16.8,130,25.9
HSS9.625X0.500,13.4,9.625,8.695,0.5,0.465,48.77,20.7,141,29.2,3.24,39,281,58.5
HSS9.625X0.375,10.2,9.625,8.927,0.375,0.349,37.08,27.6,110,22.8,3.28,30,219,45.5
HSS9.625X0.312,8.53,9.625,9.043,0.312,0.291,31.06,33.1,93,19.3,3.3,25.4,186,38.7
HSS9.625X0.250,6.87,9.625,9.159,0.25,0.233,25.06,41.3,75.9,15.8,3.32,20.6,152,31.5
HSS9.625X0.188,5.17,9.625,9.277,0.188,0.174,18.97,55.3,57.7,12,3.34,15.5,115,24
HSS8.625X0.625,14.7,8.625,7.463,0.625,0.581,53.45,14.8,119,27.7,2.85,37.7,239,55.4
HSS8.625X0.500,11.9,8.625,7.695,0.5,0.465,43.43,18.5,100,23.1,2.89,31,199,46.2
HSS8.625X0.375,9.07,8.625,7.927,0.375,0.349,33.07,24.7,77.8,18,2.93,23.9,156,36.1
