Shape,A,h,b,t(nom),t(des),wt./ft.,b/t,h/t,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,h(flat),b(flat),J,C,A(surf)
HSS20X12X5/8,35,20,12,0.625,0.581,127.37,17.7,31.5,1880,188,7.33,230,851,142,4.93,162,17.1875,9.1875,1890,257,5.17
HSS20X12X1/2,28.3,20,12,0.5,0.465,103.3,22.8,40,1550,155,7.39,188,705,117,4.99,132,17.75,9.75,1540,209,5.2
HSS20X12X3/8,21.5,20,12,0.375,0.349,78.52,31.5,54.4,1200,120,7.45,144,547,91.1,5.04,102,18.3125,10.3125,1180,160,5.23
HSS20X12X5/16,18.1,20,12,0.3125,0.291,65.87,38.1,65.6,1010,101,7.48,122,464,77.3,5.07,85.8,18.625,10.625,997,134,5.25
HSS20X8X5/8,30.3,20,8,0.625,0.581,110.36,10.8,31.5,1440,144,6.89,185,338,84.6,3.34,96.4,17.1875,5.1875,916,167,4.5
HSS20X8X1/2,24.6,20,8,0.5,0.465,89.68,14.2,40,1190,119,6.96,152,283,70.8,3.39,79.5,17.75,5.75,757,137,4.53
HSS20X8X3/8,18.7,20,8,0.375,0.349,68.31,19.9,54.4,926,92.6,7.03,117,222,55.6,3.44,61.5,18.3125,6.3125,586,105,4.57
HSS20X8X5/16,15.7,20,8,0.3125,0.291,57.36,24.5,65.6,786,78.6,7.07,98.6,189,47.4,3.47,52,18.625,6.625,496,88.3,4.58
HSS20X4X1/2,20.9,20,4,0.5,0.465,76.07,5.59,40,838,83.8,6.33,115,58.7,29.3,1.68,34,17.75,---,195,63.8,3.87
HSS20X4X3/8,16,20,4,0.375,0.349,58.1,8.45,54.4,657,65.7,6.42,89.3,47.6,23.8,1.73,26.8,18.3125,2.3125,156,49.9,3.9
HSS20X4X5/16,13.4,20,4,0.3125,0.291,48.86,10.8,65.6,560,56,6.46,75.6,41.2,20.6,1.75,22.9,18.625,2.625,134,42.4,3.92
HSS20X4X1/4,10.8,20,4,0.25,0.233,39.43,14.2,82.8,458,45.8,6.5,61.5,34.3,17.1,1.78,18.7,18.875,2.875,111,34.7,3.93
HSS18X6X5/8,25.7,18,6,0.625,0.581,93.34,7.33,28.1,923,103,6,135,158,52.7,2.48,61,15.1875,3.1875,462,109,3.83
HSS18X6X1/2,20.9,18,6,0.5,0.465,76.07,9.91,35.7,770,85.6,6.07,112,134,44.6,2.53,50.7,15.75,3.75,387,89.9,3.87
HSS18X6X3/8,16,18,6,0.375,0.349,58.1,14.2,48.7,602,66.9,6.15,86.4,106,35.5,2.58,39.5,16.3125,4.3125,302,69.5,3.9
HSS18X6X5/16,13.4,18,6,0.3125,0.291,48.86,17.6,58.8,513,57,6.18,73.1,91.3,30.4,2.61,33.5,16.5625,4.5625,257,58.7,3.92
HSS18X6X1/4,10.8,18,6,0.25,0.233,39.43,22.7,74.2,419,46.5,6.22,59.4,75.1,25,2.63,27.3,16.875,4.875,210,47.7,3.93
HSS16X16X5/8,35,16,16,0.625,0.581,127.37,24.6,24.6,1370,171,6.25,200,1370,171,6.25,200,13.1875,13.1875,2170,276,5.17
HSS16X16X1/2,28.3,16,16,0.5,0.465,103.3,31.4,31.4,1130,141,6.31,164,1130,141,6.31,164,13.75,13.75,1770,224,5.2
