Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L8X8X1-1/8,16.8,8,8,1.125,1.75,1.75,56.9,98.1,17.5,2.41,2.4,31.6,1.05,98.1,17.5,2.41,2.4,31.6,1.05,40.7,12,1.56,1,1,7.13,32.5,4.29,0.63
L8X8X1,15.1,8,8,1,1.63,1.625,51,89.1,15.8,2.43,2.36,28.5,0.944,89.1,15.8,2.43,2.36,28.5,0.944,36.8,11,1.56,1,1,5.08,23.4,4.32,0.63
L8X8X7/8,13.3,8,8,0.875,1.5,1.5,45,79.7,14,2.45,2.31,25.3,0.831,79.7,14,2.45,2.31,25.3,0.831,32.7,10,1.57,1,1,3.46,16.1,4.36,0.63
L8X8X3/4,11.5,8,8,0.75,1.38,1.375,38.9,69.9,12.2,2.46,2.26,22,0.719,69.9,12.2,2.46,2.26,22,0.719,28.5,8.9,1.57,1,1,2.21,10.4,4.39,0.63
L8X8X5/8,9.69,8,8,0.625,1.25,1.25,32.7,59.6,10.3,2.48,2.21,18.6,0.606,59.6,10.3,2.48,2.21,18.6,0.606,24.2,7.72,1.58,1,0.997,1.3,6.16,4.42,0.63
L8X8X9/16,8.77,8,8,0.5625,1.19,1.1875,29.6,54.2,9.33,2.49,2.19,16.8,0.548,54.2,9.33,2.49,2.19,16.8,0.548,21.9,7.09,1.58,1,0.959,0.961,4.55,4.43,0.63
L8X8X1/2,7.84,8,8,0.5,1.13,1.125,26.4,48.8,8.36,2.49,2.17,15.1,0.49,48.8,8.36,2.49,2.17,15.1,0.49,19.8,6.44,1.59,1,0.912,0.683,3.23,4.45,0.63
L8X6X1,13.1,6,8,1,1.5,1.5,44.2,80.9,15.1,2.49,2.65,27.3,1.45,38.8,8.92,1.72,1.65,16.2,0.819,21.3,7.6,1.28,0.542,1,4.34,16.3,3.88,–
L8X6X7/8,11.5,6,8,0.875,1.38,1.375,39.1,72.4,13.4,2.5,2.6,24.3,1.43,34.9,7.94,1.74,1.6,14.4,0.719,18.9,6.71,1.28,0.546,1,2.96,11.3,3.92,–
L8X6X3/4,9.99,6,8,0.75,1.25,1.25,33.8,63.5,11.7,2.52,2.55,21.1,1.34,30.8,6.92,1.75,1.56,12.5,0.624,16.6,5.82,1.29,0.55,1,1.9,7.28,3.95,–
