Shape,A,d,tw,bf,tf,k(des),k(det),k1,T,gage,wt./ft.,bf/(2*tf),h/tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw,Wno,Sw1,Qf,Qw
W44X335,98.5,44,1.03,15.9,1.77,2.56,2.625,1.3125,38.75,5.5,335,4.5,38,31100,1410,17.8,1620,1200,150,3.49,236,4.24,42.2,74.7,535000,168,1180,278,805
W44X290,85.4,43.6,0.865,15.8,1.58,2.36,2.4375,1.25,38.75,5.5,290,5.02,45,27000,1240,17.8,1410,1040,132,3.49,205,4.2,42,50.9,461000,166,1040,248,701
W44X262,77.2,43.3,0.785,15.8,1.42,2.2,2.25,1.1875,38.75,5.5,262,5.57,49.6,24100,1110,17.7,1270,923,117,3.47,182,4.17,41.9,37.3,405000,165,928,223,630
W44X230,67.8,42.9,0.71,15.8,1.22,2.01,2.0625,1.1875,38.75,5.5,230,6.45,54.8,20800,971,17.5,1100,796,101,3.43,157,4.13,41.7,24.9,346000,165,793,192,547
W40X593,174,43,1.79,16.7,3.23,4.41,4.5,2.125,34,7.5,593,2.58,19.1,50400,2340,17,2760,2520,302,3.8,481,4.63,39.8,445,997000,166,2240,479,1370
W40X503,148,42.1,1.54,16.4,2.76,3.94,4,2,34,7.5,503,2.98,22.3,41600,1980,16.8,2320,2040,249,3.72,394,4.5,39.3,277,789000,161,1830,403,1150
W40X431,127,41.3,1.34,16.2,2.36,3.54,3.625,1.875,34,7.5,431,3.44,25.5,34800,1690,16.6,1960,1690,208,3.65,328,4.41,38.9,177,638000,158,1510,341,969
W40X397,117,41,1.22,16.1,2.2,3.38,3.5,1.8125,34,7.5,397,3.66,28,32000,1560,16.6,1800,1540,191,3.64,300,4.38,38.8,142,579000,156,1380,318,891
W40X372,110,40.6,1.16,16.1,2.05,3.23,3.3125,1.8125,34,7.5,372,3.93,29.5,29600,1460,16.5,1680,1420,177,3.6,277,4.33,38.6,116,528000,155,1280,295,829
W40X362,106,40.6,1.12,16,2.01,3.19,3.25,1.75,34,7.5,362,3.99,30.5,28900,1420,16.5,1640,1380,173,3.6,270,4.33,38.6,109,513000,154,1240,289,808
W40X324,95.3,40.2,1,15.9,1.81,2.99,3.0625,1.6875,34,7.5,324,4.4,34.2,25600,1280,16.4,1460,1220,153,3.58,239,4.27,38.4,79.4,448000,153,1100,259,720
W40X297,87.3,39.8,0.93,15.8,1.65,2.83,2.9375,1.6875,34,7.5,297,4.8,36.8,23200,1170,16.3,1330,1090,138,3.54,215,4.22,38.2,61.2,399000,151,982,234,652
W40X277,81.5,39.7,0.83,15.8,1.58,2.76,2.875,1.625,34,7.5,277,5.03,41.2,21900,1100,16.4,1250,1040,132,3.58,204,4.25,38.1,51.5,379000,151,940,225,614
W40X249,73.5,39.4,0.75,15.8,1.42,2.6,2.6875,1.5625,34,7.5,249,5.55,45.6,19600,993,16.3,1120,926,118,3.55,182,4.21,38,38.1,334000,150,841,203,551
W40X215,63.5,39,0.65,15.8,1.22,2.4,2.5,1.5625,34,7.5,215,6.45,52.6,16700,859,16.2,964,803,101,3.54,156,4.19,37.8,24.8,284000,149,719,175,473
W40X199,58.8,38.7,0.65,15.8,1.07,2.25,2.3125,1.5625,34,7.5,199,7.39,52.6,14900,770,16,869,695,88.2,3.45,137,4.12,37.6,18.3,246000,149,628,153,427
W40X392,116,41.6,1.42,12.4,2.52,3.7,3.8125,1.9375,34,7.5,392,2.45,24.1,29900,1440,16.1,1710,803,130,2.64,212,3.3,39.1,172,306000,121,946,270,848
W40X331,97.7,40.8,1.22,12.2,2.13,3.31,3.375,1.8125,34,7.5,331,2.86,28,24700,1210,15.9,1430,644,106,2.57,172,3.21,38.7,105,241000,118,766,226,706
