Shape,A,d,tw,bf,tf,k(des),k(det),gage,wt./ft.,bf/(2*tf),d/tw,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,Zy,Qs,J,Cw,ro(bar),H
WT22X167.5,49.2,22,1.03,15.9,1.77,2.56,2.625,5.5,167.5,4.5,21.4,2170,131,6.63,5.53,234,1.54,600,75.2,3.49,118,0.824,37.2,438,8.82,0.723
WT22X145,42.6,21.8,0.865,15.8,1.58,2.36,2.4375,5.5,145,5.02,25.2,1830,111,6.54,5.26,196,1.35,521,65.9,3.49,102,0.63,25.4,275,8.66,0.733
WT22X131,38.5,21.7,0.785,15.8,1.42,2.2,2.25,5.5,131,5.57,27.6,1640,99.4,6.53,5.19,176,1.22,462,58.6,3.47,90.9,0.525,18.6,200,8.64,0.731
WT22X115,33.9,21.5,0.71,15.8,1.22,2.01,2.0625,5.5,115,6.45,30.3,1440,88.6,6.53,5.17,157,1.07,398,50.5,3.43,78.3,0.436,12.4,139,8.67,0.723
WT20X296.5,87.2,21.5,1.79,16.7,3.23,4.41,4.5,7.5,296.5,2.58,12,3310,209,6.16,5.66,379,2.61,1260,151,3.8,240,1,221,2340,8.29,0.762
WT20X251.5,74,21,1.54,16.4,2.76,3.94,4,7.5,251.5,2.98,13.6,2730,174,6.07,5.38,314,2.25,1020,124,3.72,197,1,138,1400,8.17,0.76
WT20X215.5,63.3,20.6,1.34,16.2,2.36,3.54,3.625,7.5,215.5,3.44,15.4,2290,148,6.01,5.18,266,1.95,843,104,3.65,164,1,88.2,881,8.09,0.756
WT20X198.5,58.3,20.5,1.22,16.1,2.2,3.38,3.5,7.5,198.5,3.66,16.8,2070,134,5.96,5.03,240,1.81,771,95.7,3.63,150,1,70.6,677,8.01,0.76
WT20X186,54.7,20.3,1.16,16.1,2.05,3.23,3.3125,7.5,186,3.93,17.5,1930,126,5.95,4.98,225,1.7,709,88.3,3.6,138,1,57.7,558,8,0.756
WT20X181,53.2,20.3,1.12,16,2.01,3.19,3.25,7.5,181,3.99,18.1,1870,122,5.92,4.91,217,1.66,691,86.3,3.6,135,0.991,54.2,511,7.96,0.759
