CSICode,Eco,Notes,Description,Unit,Crew,Daily Output,Labor Hours,Bare Material,Bare Labor,Bare Equipment,Bare Total,Total O&P,Hourly Oper. Cost,Rent Per Day,Rent Per Week,Rent Per Month,COV
015419600100,,,"Crane crew, tower crane, static, 130' high, 106' jib, 6200 lb. capacity, monthly use, excludes concrete footing",Month,A3N,0.05,176.000,,6755.50,36998.00,43753.50,51781.40,,,,,0.3
015423706110,,,"Scaffolding, steel tubular, heavy duty shoring for elevated slab forms, floor area, rent/month of materials only, to 8'-2"" high",C.S.F.,,0.00,,49.62,,,49.62,54.82,,,,,0.3
015423706610,,,"Scaffolding, steel tubular, heavy duty shoring for elevated slab forms, floor area, rent/month of materials only, to 14'-8"" high",C.S.F.,,0.00,,72.70,,,72.70,80.20,,,,,0.3
024116130020,,,"Building demolition, large urban projects, steel, includes 20 mile haul, excludes foundation demolition, dump fees",C.F.,B8,21500.00,0.003,,0.12,0.20,0.32,0.41,,,,,0.3
024116130050,,,"Building demolition, large urban projects, concrete, includes 20 mile haul, excludes foundation demolition, dump fees",C.F.,B8,15300.00,0.004,,0.17,0.27,0.44,0.57,,,,,0.3
024116130700,,,"Building demolition, small buildings or single buildings, wood, elevated slabs, includes 20 mile haul, excludes salvage, foundation demolition or dump fees",C.F.,B3,14800.00,0.003,,0.20,0.23,0.43,0.53,,,,,0.3
024119160020,,,"Selective demolition, cutout, concrete elevated slab, light reinforcing, under 6 C.F., excludes loading and disposal",C.F.,B9,65.00,0.615,,33.35,5.14,38.49,56.02,,,,,0.3
024119160050,,,"Selective demolition, cutout, concrete elevated slab, light reinforcing, over 6 C.F., excludes loading and disposal",C.F.,B9,75.00,0.533,,28.78,4.45,33.23,48.73,,,,,0.3
024119161000,,,"Selective demolition, cutout, concrete, elevated slab, bar reinforced, under 6 C.F., excludes loading and disposal",C.F.,B9,45.00,0.889,,35.97,7.40,43.37,67.04,,,,,0.3
024119161050,,,"Selective demolition, cutout, concrete, elevated slab, bar reinforced, over 6 C.F., excludes loading and disposal",C.F.,B9,50.00,0.800,,32.05,6.69,38.74,60.30,,,,,0.3
024119161400,,,"Selective demolition, cutout, concrete, walls, bar reinforced, under 6 C.F., excludes loading and disposal",C.F.,B9,50.00,0.800,,32.05,6.69,38.74,60.30,,,,,0.3
024119161450,,,"Selective demolition, cutout, concrete, walls, bar reinforced, 6-12 C.F., excludes loading and disposal",C.F.,B9,70.00,0.571,,22.96,4.77,27.73,43.18,,,,,0.3
024119180200,,,"Selective demolition, disposal only, urban buildings with salvage value allowed, steel frame, includes loading and 5 mile haul to dump",C.Y.,B3,430.00,0.112,,6.67,7.76,14.43,18.61,,,,,0.3
024119180300,,,"Selective demolition, disposal only, urban buildings with salvage value allowed, concrete frame, includes loading and 5 mile haul to dump",C.Y.,B3,365.00,0.132,,5.83,9.11,14.94,19.64,,,,,0.3
024119180500,,,"Selective demolition, disposal only, urban buildings with salvage value allowed, wood frame, includes loading and 5 mile haul to dump",C.Y.,B3,247.00,0.194,,11.64,13.45,25.09,32.33,,,,,0.3
024119192000,,,"Selective demolition, rubbish handling, 0'-50' haul, load, haul, dump and return, hand carried, cost to be added to demolition cost",C.Y.,2 Clab,24.00,0.667,,26.16,,26.16,43.82,,,,,0.3
024119271040,,,"Selective demolition, torch cutting, steel, reinforced concrete walls, 12""-16"" thick, oxygen lance cutting",L.F.,1 Clab,10.00,0.800,,32.05,,32.05,52.32,,,,,0.3
030505100050,,,"Selective concrete demolition, reinforcing less than 1% of cross-sectional area, break up into small pieces, excludes shoring, bracing, saw or torch cutting, loading, hauling, dumping",C.Y.,B9,24.00,1.667,,48.41,13.95,62.36,94.73,,,,,0.3
030505100060,,,"Selective concrete demolition, reinforcing 1% - 2% of cross-sectional area, break up into small pieces, excludes shoring, bracing, saw or torch cutting, loading, hauling, dumping",C.Y.,B9,16.00,2.500,,72.38,20.92,93.30,142.36,,,,,0.3
030505100070,,,"Selective concrete demolition, reinforcing more than 2% cross-sectional area, break up into small pieces, excludes shoring, bracing, saw or torch cutting, loading, hauling, dumping",C.Y.,B9,8.00,5.000,,144.76,41.98,186.74,285.01,,,,,0.3
031113255000,,,"C.I.P. concrete forms, column, square, plywood, 8"" x 8"", 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C1,165.00,0.194,3.34,6.17,,9.51,13.88,,,,,0.3
031113255500,,,"C.I.P. concrete forms, column, square, plywood, 12"" x 12"", 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C1,180.00,0.178,3.21,5.66,,8.87,12.90,,,,,0.3
031113256000,,,"C.I.P. concrete forms, column, square, plywood, 16"" x 16"", 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C1,185.00,0.173,3.21,5.48,,8.69,12.63,,,,,0.3
031113256500,,,"C.I.P. concrete forms, column, square, plywood, 24"" x 24"", 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C1,190.00,0.168,3.64,5.34,,8.98,12.87,,,,,0.3
031113257000,,,"C.I.P. concrete forms, column, square, plywood, 36"" x 36"", 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C1,200.00,0.160,2.71,5.06,,7.77,11.39,,,,,0.3
031113351000,,,"C.I.P. concrete forms, elevated slab, flat plate, plywood, to 15' high, 1 use, includes shoring, erecting, bracing, stripping and cleaning",S.F.,C2,470.00,0.102,4.97,3.27,,8.24,10.90,,,,,0.3
031113351500,,,"C.I.P. concrete forms, elevated slab, flat plate, plywood, 15' to 20' high ceilings, 4 use, includes shoring, erecting, bracing, stripping and cleaning",S.F.,C2,495.00,0.097,1.64,3.10,,4.74,6.95,,,,,0.3
031113351600,,,"C.I.P. concrete forms, elevated slab, flat plate, plywood, 21' to 35' high ceilings, 4 use, includes shoring, erecting, bracing, stripping and cleaning",S.F.,C2,450.00,0.107,2.04,3.41,,5.45,7.90,,,,,0.3
031113357000,,,"C.I.P. concrete forms, elevated slab, edge forms, to 6"" high, 4 use, includes shoring, erecting, bracing, stripping and cleaning",L.F.,C1,500.00,0.064,0.28,2.03,,2.31,3.68,,,,,0.3
031113357070,,,"C.I.P. concrete forms, elevated slab, edge forms, 7"" to 12"" high, 1 use, includes shoring, erecting, bracing, stripping and cleaning",SFCA,C1,162.00,0.198,1.63,6.26,,7.89,12.17,,,,,0.3
031113850100,,,"C.I.P. concrete forms, wall, box out for opening, to 16"" thick, to 10 S.F., includes erecting, bracing, stripping and cleaning",Ea.,C2,24.00,2.000,32.99,64.03,,97.02,141.84,,,,,0.3
031113850150,,,"C.I.P. concrete forms, wall, box out for opening, to 16"" thick, over 10 S.F. (use perimeter), includes erecting, bracing, stripping and cleaning",L.F.,C2,280.00,0.171,2.84,5.48,,8.32,12.21,,,,,0.3
031113852000,,,"C.I.P. concrete forms, wall, job built, plywood, to 8' high, 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,370.00,0.130,3.40,4.15,,7.55,10.61,,,,,0.3
031113852150,,,"C.I.P. concrete forms, wall, job built, plywood, to 8' high, 4 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,505.00,0.095,1.28,3.03,,4.31,6.47,,,,,0.3
031113852400,,,"C.I.P. concrete forms, wall, job built, plywood, over 8' to 16' high, 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,280.00,0.171,3.76,5.48,,9.24,13.23,,,,,0.3
031113852550,,,"C.I.P. concrete forms, wall, job built, plywood, over 8' to 16' high, 4 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,395.00,0.122,0.97,3.88,,4.85,7.51,,,,,0.3
031113852700,,,"C.I.P. concrete forms, wall, job built, plywood, over 16' high, 1 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,235.00,0.204,3.36,6.54,,9.90,14.51,,,,,0.3
031113852850,,,"C.I.P. concrete forms, wall, job built, plywood, over 16' high, 4 use, includes erecting, bracing, stripping and cleaning",SFCA,C2,330.00,0.145,1.09,4.64,,5.73,8.90,,,,,0.3
031113857860,,,"C.I.P. concrete forms, walls, modular prefabricated plywood, to 8' high, includes erecting, bracing, stripping and cleaning",SFCA,C2,800.00,0.060,1.38,1.92,,3.30,4.71,,,,,0.3
031113858060,,,"C.I.P. concrete forms, walls, modular prefabricated plywood, over 8' to 16' high, includes erecting, bracing, stripping and cleaning",SFCA,C2,600.00,0.080,1.45,2.55,,4.00,5.84,,,,,0.3
031113859060,,,"C.I.P. concrete forms, walls, steel framed plywood, to 8' high, based on 50 uses of purchased forms, 4 uses of bracing lumber, includes erecting, bracing, stripping and cleaning",SFCA,C2,600.00,0.080,0.95,2.55,,3.50,5.29,,,,,0.3
031113859260,,,"C.I.P. concrete forms, walls, steel framed plywood, over 8' to 16' high, based on 50 uses of purchased forms, 4 uses of bracing lumber, includes erecting, bracing, stripping and cleaning",SFCA,C2,450.00,0.107,0.95,3.41,,4.36,6.71,,,,,0.3
031113859460,,,"C.I.P. concrete forms, walls, steel framed plywood, over 16' to 20' high, based on 50 uses of purchased forms, 4 uses of bracing lumber, includes erecting, bracing, stripping and cleaning",SFCA,C2,400.00,0.120,0.95,3.83,,4.78,7.41,,,,,0.3
031113859475,,,"C.I.P. concrete forms, for elevated walls, add, includes erecting, bracing, stripping and cleaning",,,0.00,,,10.00%,,,,,,,,0.3
031505705040,,,"Frame shoring system, frame, 12000# per leg, 2' wide x 6' high, steel, buy",Ea.,,0.00,,120.98,,,120.98,133.20,,,,,0.3
031505705250,,,"Frame shoring system, X-brace, 12000# per leg, steel, buy",Ea.,,0.00,,20.90,,,20.90,22.97,,,,,0.3
031505705550,,,"Frame shoring system, base plate, 12000# per leg, steel, buy",Ea.,,0.00,,18.51,,,18.51,20.35,,,,,0.3
031505705600,,,"Frame shoring system, screw jack, 12000# per leg, steel, buy",Ea.,,0.00,,43.99,,,43.99,48.27,,,,,0.3
031505705650,,,"Frame shoring system, U-head, 12000# per leg, 8"" x 8"", steel, buy",Ea.,,0.00,,23.10,,,23.10,25.66,,,,,0.3
032105750100,,,"Splice rebar, standard, self-aligning type, taper threaded, #4 bars, includes holding rebar in place while splicing",Ea.,C25,190.00,0.168,9.13,5.18,,14.31,18.88,,,,,0.3
032105750105,,,"Splice rebar, standard, self-aligning type, taper threaded, #5 bars, includes holding rebar in place while splicing",Ea.,C25,170.00,0.188,11.33,5.79,,17.12,22.40,,,,,0.3
032105750120,,,"Splice rebar, standard, self-aligning type, taper threaded, #7 bars, includes holding rebar in place while splicing",Ea.,C25,130.00,0.246,14.76,7.57,,22.33,29.23,,,,,0.3
032105750300,,,"Splice rebar, standard, self-aligning type, taper threaded, #8 bars, includes holding rebar in place while splicing",Ea.,C25,115.00,0.278,24.50,8.55,,33.05,41.57,,,,,0.3
032105750310,,,"Splice rebar, standard, self-aligning type, taper threaded, #10 bars, includes holding rebar in place while splicing",Ea.,C5,95.00,0.505,31.85,17.79,8.68,58.32,73.94,,,,,0.3
032105750320,,,"Splice rebar, standard, self-aligning type, taper threaded, #11 bars, includes holding rebar in place while splicing",Ea.,C5,85.00,0.565,33.69,20.08,9.75,63.52,80.79,,,,,0.3
032105750330,,,"Splice rebar, standard, self-aligning type, taper threaded, #14 bars, includes holding rebar in place while splicing",Ea.,C5,65.00,0.738,44.10,26.15,12.74,82.99,105.37,,,,,0.3
032105750340,,,"Splice rebar, standard, self-aligning type, taper threaded, #18 bars, includes holding rebar in place while splicing",Ea.,C5,45.00,1.067,67.38,37.83,18.43,123.64,155.82,,,,,0.3
032111600200,,,"Reinforcing steel, in place, columns, #3 to #7, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,1.50,21.333,1255.63,807.91,,2063.54,2709.08,,,,,0.3
032111600250,,,"Reinforcing steel, in place, columns, #8 to #18, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,2.30,13.913,1255.63,527.71,,1783.34,2251.42,,,,,0.3
032111600300,,,"Reinforcing steel, in place, columns, spirals, 8"" to 15"" diameter, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,2.20,14.545,2051.88,551.06,,2602.94,3176.90,,,,,0.3
032111600400,,,"Reinforcing steel, in place, elevated slabs, #4 to #7, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,2.90,11.034,1255.63,565.07,,1820.70,2232.74,,,,,0.3
032111600700,,,"Reinforcing steel, in place, walls, #3 to #7, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,3.00,10.667,1255.63,406.29,,1661.92,2045.94,,,,,0.3
032111600750,,,"Reinforcing steel, in place, walls, #8 to #18, A615, grade 60, incl labor for accessories, excl material for accessories",Ton,4 Rodm,4.00,8.000,1255.63,303.55,,1559.18,1877.82,,,,,0.3
032111601000,,,"Reinforcing steel, in place, under 10 ton job, #3 to #7, add",,,,,25.00%,10.00%,,,,,,,,0.3
032111601010,,,"Reinforcing steel, in place, under 10 ton job, #8 to #18, add",,,,,20.00%,10.00%,,,,,,,,0.3
032111601050,,,"Reinforcing steel, in place, 10 to 50 ton job, #3 to #7, add",,,,,10.00%,,,,,,,,,0.3
032111601060,,,"Reinforcing steel, in place, 10 to 50 ton job, #8 to #18, add",,,,,5.00%,,,,,,,,,0.3
032111601100,,,"Reinforcing steel, in place, 60 to 100 ton job, #3 to #7, deduct",,,,,5.00%,,,,,,,,,0.3
032111601110,,,"Reinforcing steel, in place, 60 to 100 ton job, #8 to #18, deduct",,,,,10.00%,,,,,,,,,0.3
032111601150,,,"Reinforcing steel, in place, over 100 ton job, #3 to #7, deduct",,,,,10.00%,,,,,,,,,0.3
